Date,Total_event_runners,temperature,windspeed,precipitation,ave_run_time,best_time,worst_time
2013-08-31,366.0,15.2,27.8,0.0,25.919732142857146,18.4,38.82
2013-09-07,431.0,14.1,32.7,0.1,26.451176470588237,16.0,43.7
2013-09-14,387.0,12.0,25.0,0.0,26.062605042016806,16.98,42.2
2013-09-21,391.0,15.4,18.3,0.0,25.403531914893616,16.57,41.23
2013-09-28,347.0,15.6,33.0,0.0,25.804921465968587,16.85,43.52
2013-10-05,410.0,15.3,15.8,0.0,25.855809128630707,16.65,41.1
2013-10-12,399.0,10.2,25.5,0.0,26.107834645669293,16.72,39.22
2013-10-19,390.0,16.2,30.1,0.0,26.25423728813559,15.72,42.57
2013-10-26,350.0,15.4,50.6,0.3,25.78586046511628,16.52,40.87
2013-11-02,405.0,11.7,21.1,0.0,25.54419213973799,15.6,43.0
2013-11-09,399.0,8.6,28.9,0.2,25.68574561403509,16.6,40.52
2013-11-16,307.0,4.4,7.4,0.0,25.84077380952381,18.38,38.68
2013-11-23,350.0,3.9,32.2,0.0,26.508476190476188,16.92,45.13
2013-11-30,368.0,5.2,34.2,0.0,25.999414414414414,16.55,42.27
2013-12-07,305.0,6.200000000000001,18.6,0.0,25.807134831460676,16.6,42.87
2013-12-14,314.0,7.5,24.3,0.0,26.1463687150838,18.23,40.8
2013-12-21,199.0,10.0,53.3,1.6,24.365504587155964,16.17,37.83
2013-12-25,253.0,6.400000000000001,41.0,0.20000000000000004,26.2434375,16.42,38.52
2013-12-28,311.0,6.7,32.1,0.0,25.775209580838325,17.27,41.07
2014-01-04,312.0,9.1,50.2,0.9,26.2437037037037,18.12,43.92
2014-01-11,485.0,6.4,28.2,0.0,26.42179775280899,17.18,43.03
2014-01-18,492.0,8.1,36.8,0.3,26.82163636363636,17.17,46.8
2014-01-25,396.0,8.2,17.3,0.0,26.226837606837606,17.03,43.62
2014-02-01,394.0,5.1,48.4,0.2,26.065309734513274,17.03,44.08
2014-02-08,359.0,7.400000000000001,54.0,0.20000000000000004,26.424884792626727,16.88,42.78
2014-02-15,225.0,7.8,60.1,0.2,26.30435114503817,18.35,37.45
2014-02-22,379.0,6.599999999999999,23.7,0.0,26.107594339622644,16.88,43.37
2014-03-01,357.0,3.8,15.1,0.0,26.522087378640776,17.08,47.83
2014-03-08,475.0,7.9,28.8,0.0,26.400784313725488,16.63,42.45
2014-03-15,464.0,9.1,22.5,0.0,26.67381679389313,16.57,46.25
2014-03-22,384.0,6.5,35.8,0.0,26.55958139534884,16.7,46.05
2014-03-29,464.0,10.8,27.5,0.0,26.35040590405904,15.38,46.37
2014-04-05,333.0,9.8,20.6,0.0,26.4164,18.07,37.33
2014-04-12,420.0,10.6,13.4,0.0,26.58309090909091,16.27,42.48
2014-04-19,487.0,8.8,30.0,0.0,26.236966292134834,16.8,44.38
2014-04-26,417.0,10.6,32.1,0.1,26.329156118143462,16.75,41.62
2014-05-03,432.0,8.2,18.8,0.0,25.80004166666667,17.65,39.42
2014-05-10,347.0,12.4,42.7,0.2,26.474292682926826,16.5,42.93
2014-05-17,445.0,15.4,5.2,0.0,26.3372030651341,16.88,41.2
2014-05-24,390.0,12.3,32.2,0.0,26.415339366515838,16.33,39.3
2014-05-31,485.0,14.1,9.4,0.0,27.2588122605364,16.65,41.12
2014-06-07,405.0,17.1,25.4,0.7,27.173562231759654,17.5,45.58
2014-06-14,441.0,17.8,10.6,0.0,26.557871485943775,16.48,39.23
2014-06-21,468.0,16.9,14.1,0.0,26.83972222222222,18.25,43.78
2014-06-28,375.0,15.7,15.5,0.0,26.03905472636816,16.42,43.0
2014-07-05,333.0,17.1,36.9,0.0,26.04767441860465,16.4,40.95
